time,P,I,D,ds,left speed,right speed
1,-2883.246765,-0.000000,-450507.307053,-453390.553818,453390.553818,-453390.553818
2,-698.051758,-0.000000,341436.719894,340738.668137,-340738.668137,340738.668137
3,-3072.857056,-0.000000,-371063.327789,-374136.184845,374136.184845,-374136.184845
4,-902.597656,-0.000000,339103.031158,338200.433502,-338200.433502,338200.433502
5,-3104.285583,-0.000000,-344013.738632,-347118.024216,347118.024216,-347118.024216
6,-825.844116,-0.000000,356006.479263,355180.635147,-355180.635147,355180.635147
7,-3170.130005,-0.000000,-366294.670105,-369464.800110,369464.800110,-369464.800110
8,-943.117065,-0.000000,347970.771790,347027.654724,-347027.654724,347027.654724
9,-3183.116760,-0.000000,-349999.952316,-353183.069077,353183.069077,-353183.069077
10,-781.428833,-0.000000,375263.738632,374482.309799,-374482.309799,374482.309799
11,-3077.402649,-0.000000,-358745.908737,-361823.311386,361823.311386,-361823.311386
12,-825.844116,-0.000000,351806.020737,350980.176620,-350980.176620,350980.176620
13,-3048.311768,-0.000000,-347260.570526,-350308.882294,350308.882294,-350308.882294
14,-715.194702,-0.000000,364549.541473,363834.346771,-363834.346771,363834.346771
15,-3063.116760,-0.000000,-366862.821579,-369925.938339,369925.938339,-369925.938339
16,-817.272949,-0.000000,350913.095474,350095.822525,-350095.822525,350095.822525
17,-3062.467651,-0.000000,-350811.672211,-353874.139862,353874.139862,-353874.139862
18,-612.597656,-0.000000,382792.186737,382179.589081,-382179.589081,382179.589081
19,-3031.168823,-0.000000,-377901.744843,-380932.913666,380932.913666,-380932.913666
20,-440.130005,-0.000000,404849.815369,404409.685364,-404409.685364,404409.685364
21,-3002.467651,-0.000000,-400365.257263,-403367.724915,403367.724915,-403367.724915
22,-362.337646,-0.000000,412520.313263,412157.975616,-412157.975616,412157.975616
23,-3037.792358,-0.000000,-418039.798737,-421077.591095,421077.591095,-421077.591095
24,-713.895874,-0.000000,363108.825684,362394.929810,-362394.929810,362394.929810
25,-3102.337646,-0.000000,-373194.026947,-376296.364594,376296.364594,-376296.364594
26,-699.480591,-0.000000,375446.414948,374746.934357,-374746.934357,374746.934357
27,-2972.727356,-0.000000,-355194.807053,-358167.534409,358167.534409,-358167.534409
28,-434.415283,-0.000000,396611.261368,396176.846085,-396176.846085,396176.846085
29,-2937.142944,-0.000000,-391051.197052,-393988.339996,393988.339996,-393988.339996
30,-607.662354,-0.000000,363981.342316,363373.679962,-363373.679962,363373.679962
31,-3021.947937,-0.000000,-377232.122421,-380254.070358,380254.070358,-380254.070358
32,-724.805298,-0.000000,358928.537369,358203.732071,-358203.732071,358203.732071
