time,P,I,D,ds,prox_right,left speed,right speed
1,8212.105103,1.751916,2566.282845,200.000000,921.210510,200.000000,600.000000
2,8144.210815,3.489347,-21.216965,200.000000,914.421082,200.000000,600.000000
3,7608.947144,5.112589,-167.269897,200.000000,860.894714,200.000000,600.000000
4,6960.000000,6.597389,-202.795982,200.000000,796.000000,200.000000,600.000000
5,6076.842041,7.893782,-275.986862,200.000000,707.684204,200.000000,600.000000
6,4673.684082,8.890835,-438.486862,200.000000,567.368408,200.000000,600.000000
7,3022.631531,9.535663,-515.953922,200.000000,402.263153,200.000000,600.000000
8,2432.631531,10.054624,-184.375000,200.000000,343.263153,200.000000,600.000000
9,1870.526428,10.453670,-175.657845,200.000000,287.052643,200.000000,600.000000
10,1724.736938,10.821614,-45.559216,200.000000,272.473694,200.000000,600.000000
11,1416.842041,11.123874,-96.217155,200.000000,241.684204,200.000000,600.000000
12,1035.263214,11.344730,-119.243383,200.000000,203.526321,200.000000,600.000000
13,908.947296,11.538639,-39.473724,200.000000,190.894730,200.000000,600.000000
14,653.157959,11.677979,-79.934168,200.000000,165.315796,200.000000,600.000000
15,478.421021,11.780042,-54.605293,200.000000,147.842102,200.000000,600.000000
16,313.157959,11.846849,-51.644707,200.000000,131.315796,200.000000,600.000000
17,148.947372,11.878625,-51.315808,109.510189,114.894737,290.489811,509.510189
18,-30.526352,11.872112,-56.085539,-74.739779,96.947365,474.739779,325.260221
19,-71.052628,11.856954,-12.664461,-71.860134,92.894737,471.860134,328.139866
20,-93.684235,11.836968,-7.072377,-88.919643,90.631577,488.919643,311.080357
21,-152.631607,11.804407,-18.421054,-159.248254,84.736839,559.248254,240.751746
22,-145.789490,11.773305,2.138162,-131.878023,85.421051,531.878023,268.121977
23,-204.210510,11.729740,-18.256569,-200.000000,79.578949,600.000000,200.000000
24,-226.315765,11.681460,-6.907892,-200.000000,77.368423,600.000000,200.000000
25,-224.736862,11.633516,0.493407,-200.000000,77.526314,600.000000,200.000000
26,-195.263138,11.591860,9.210539,-174.460739,80.473686,574.460739,225.539261
27,-182.631607,11.552898,3.947353,-167.131355,81.736839,567.131355,232.868645
28,-211.578979,11.507761,-9.046054,-200.000000,78.842102,600.000000,200.000000
29,-197.368393,11.465656,4.440808,-181.461929,80.263161,581.461929,218.538071
30,-240.526352,11.414344,-13.486862,-200.000000,75.947365,600.000000,200.000000
31,-193.157883,11.373137,14.802647,-166.982099,80.684212,566.982099,233.017901
32,-185.789490,11.333502,2.302623,-172.153365,81.421051,572.153365,227.846635
33,-230.526352,11.284323,-13.980269,-200.000000,76.947365,600.000000,200.000000
34,-168.947372,11.248281,19.243431,-138.455661,83.105263,538.455661,261.544339
35,-206.842117,11.204154,-11.842108,-200.000000,79.315788,600.000000,200.000000
36,-151.578979,11.171817,17.269731,-123.137431,84.842102,523.137431,276.862569
37,-171.578979,11.135214,-6.250000,-166.693766,82.842102,566.693766,233.306234
38,-164.736862,11.100070,2.138162,-151.498630,83.526314,551.498630,248.501370
39,-186.842117,11.060210,-6.907892,-182.689799,81.315788,582.689799,217.310201
40,-166.315765,11.024730,6.414485,-148.876551,83.368423,548.876551,251.123449
41,-155.789490,10.991495,3.289461,-141.508534,84.421051,541.508534,258.491466
42,-167.368393,10.955789,-3.618407,-160.031011,83.263161,560.031011,239.968989
43,-126.842117,10.928730,12.664461,-103.248926,87.315788,503.248926,296.751074
44,-183.157883,10.889656,-17.598677,-189.866903,81.684212,589.866903,210.133097
45,-152.631607,10.857095,9.539461,-132.235051,84.736839,532.235051,267.764949
46,-172.631607,10.820267,-6.250000,-168.061340,82.736839,568.061340,231.938660
47,-133.157883,10.791860,12.335539,-110.030484,86.684212,510.030484,289.969516
48,-84.210510,10.773895,15.296054,-58.140562,91.578949,458.140562,341.859438
49,-57.894745,10.761544,8.223677,-38.909524,94.210526,438.909524,361.090476
50,-79.473648,10.744589,-6.743407,-75.472466,92.052635,475.472466,324.527534
51,-54.736862,10.732912,7.730246,-36.273704,94.526314,436.273704,363.726296
52,-35.789490,10.725277,5.921054,-19.143159,96.421051,419.143159,380.856841
53,-46.842117,10.715284,-3.453946,-39.580779,95.315788,439.580779,360.419221
54,-46.315765,10.705403,0.164485,-35.445877,95.368423,435.445877,364.554123
55,58.421021,10.717867,32.730246,101.869133,105.842102,298.130867,501.869133
56,30.000000,10.724267,-8.881569,31.842698,103.000000,368.157302,431.842698
57,91.052628,10.743691,19.078946,120.875265,109.105263,279.124735,520.875265
58,148.421021,10.775354,17.927623,177.123998,114.842102,222.876002,577.123998
59,132.631607,10.803649,-4.934192,138.501064,113.263161,261.498936,538.501064
60,205.789490,10.847551,22.861838,200.000000,120.578949,200.000000,600.000000
61,276.842117,10.906610,22.203946,200.000000,127.684212,200.000000,600.000000
62,240.000000,10.957810,-11.513162,200.000000,124.000000,200.000000,600.000000
63,347.368469,11.031916,33.552647,200.000000,134.736847,200.000000,600.000000
64,325.263214,11.101305,-6.907892,200.000000,132.526321,200.000000,600.000000
65,322.631531,11.170133,-0.822401,200.000000,132.263153,200.000000,600.000000
66,325.789490,11.239635,0.986862,200.000000,132.578949,200.000000,600.000000
67,278.947372,11.299144,-14.638162,200.000000,127.894737,200.000000,600.000000
68,238.947372,11.350119,-12.500000,200.000000,123.894737,200.000000,600.000000
69,94.210510,11.370217,-45.230269,60.350458,109.421051,339.649542,460.350458
70,137.894745,11.399635,13.651323,162.945703,113.789474,237.054297,562.945703
71,143.157883,11.430175,1.644731,156.232789,114.315788,243.767211,556.232789
72,67.368393,11.444547,-23.684216,55.128725,106.736839,344.871275,455.128725
73,83.157883,11.462288,4.934216,99.554386,108.315788,300.445614,499.554386
74,5.263138,11.463410,-24.342108,-7.615560,100.526314,407.615560,392.384440
75,29.473648,11.469698,7.565784,48.509131,102.947365,351.490869,448.509131
76,-35.789490,11.462063,-20.394731,-44.722157,96.421051,444.722157,355.277843
77,-118.947372,11.436688,-25.986838,-133.497523,88.105263,533.497523,266.502477
78,-50.526352,11.425909,21.381569,-17.718874,94.947365,417.718874,382.281126
79,-70.000000,11.410975,-6.085515,-64.674540,93.000000,464.674540,335.325460
80,-113.157883,11.386835,-13.486838,-115.257886,88.684212,515.257886,284.742114
81,-90.526352,11.367523,7.072353,-72.086476,90.947365,472.086476,327.913524
82,-118.421021,11.342260,-8.717084,-115.795845,88.157898,515.795845,284.204155
83,-83.684235,11.324407,10.855246,-61.504582,91.631577,461.504582,338.495418
84,-67.368393,11.310035,5.098701,-50.959657,93.263161,450.959657,349.040343
85,-86.842117,11.291509,-6.085539,-81.636148,91.315788,481.636148,318.363852
86,-33.684235,11.284323,16.611838,-5.788074,96.631577,405.788074,394.211926
87,-107.894745,11.261305,-23.190784,-119.824224,89.210526,519.824224,280.175776
88,-64.736862,11.247495,13.486838,-40.002529,93.526314,440.002529,359.997471
89,-73.684235,11.231775,-2.796054,-65.248513,92.631577,465.248513,334.751487
90,-84.736862,11.213698,-3.453946,-76.977110,91.526314,476.977110,323.022890
91,-85.789490,11.195396,-0.328946,-74.923040,91.421051,474.923040,325.076960
92,-97.368393,11.174624,-3.618407,-89.812176,90.263161,489.812176,310.187824
93,-88.947372,11.155649,2.631569,-75.160155,91.105263,475.160155,324.839845
