time,P,I,D,ds,prox_right,left speed,right speed
1,1661.578979,0.000000,259621.715546,200.000000,266.157898,200.000000,600.000000
2,1642.105408,0.000000,-3042.745590,-200.000000,264.210541,600.000000,200.000000
3,1561.578979,0.000000,-12582.254410,-200.000000,256.157898,600.000000,200.000000
4,1637.894592,0.000000,11924.314499,200.000000,263.789459,200.000000,600.000000
5,1675.789490,0.000000,5921.077728,200.000000,267.578949,200.000000,600.000000
6,1589.473572,0.000000,-13486.862183,-200.000000,258.947357,600.000000,200.000000
7,1573.157959,0.000000,-2549.314499,-200.000000,257.315796,600.000000,200.000000
8,1615.789490,0.000000,6661.176682,200.000000,261.578949,200.000000,600.000000
9,1560.000000,0.000000,-8717.107773,-200.000000,256.000000,600.000000,200.000000
10,1732.105408,0.000000,26891.469955,200.000000,273.210541,200.000000,600.000000
11,1690.526428,0.000000,-6496.715546,-200.000000,269.052643,600.000000,200.000000
12,1672.105408,0.000000,-2878.284454,-200.000000,267.210541,600.000000,200.000000
13,1822.631531,0.000000,23519.706726,200.000000,282.263153,200.000000,600.000000
14,1876.315918,0.000000,8388.185501,200.000000,287.631592,200.000000,600.000000
15,1833.157959,0.000000,-6743.431091,-200.000000,283.315796,600.000000,200.000000
16,1844.736938,0.000000,1809.215546,200.000000,284.473694,200.000000,600.000000
17,1818.421021,0.000000,-4111.862183,-200.000000,281.842102,600.000000,200.000000
18,1867.368469,0.000000,7648.038864,200.000000,286.736847,200.000000,600.000000
19,1833.157959,0.000000,-5345.392227,-200.000000,283.315796,600.000000,200.000000
20,1947.368469,0.000000,17845.392227,200.000000,294.736847,200.000000,600.000000
21,1950.526428,0.000000,493.431091,200.000000,295.052643,200.000000,600.000000
22,1947.894592,0.000000,-411.224365,200.000000,294.789459,200.000000,600.000000
23,1758.947449,0.000000,-29522.991180,-200.000000,275.894745,600.000000,200.000000
24,1791.578979,0.000000,5098.676682,200.000000,279.157898,200.000000,600.000000
25,1635.263062,0.000000,-24424.362183,-200.000000,263.526306,600.000000,200.000000
26,1599.473572,0.000000,-5592.107773,-200.000000,259.947357,600.000000,200.000000
27,1665.789490,0.000000,10361.862183,200.000000,266.578949,200.000000,600.000000
28,1588.421021,0.000000,-12088.823318,-200.000000,258.842102,600.000000,200.000000
