time,P,I,D,ds,prox_right,left speed,right speed
1,4106.052551,0.875958,2566.282845,200.000000,921.210510,200.000000,600.000000
2,4072.105408,1.744674,-21.216965,200.000000,914.421082,200.000000,600.000000
3,3804.473572,2.556295,-167.269897,200.000000,860.894714,200.000000,600.000000
4,3480.000000,3.298695,-202.795982,200.000000,796.000000,200.000000,600.000000
5,3038.421021,3.946891,-275.986862,200.000000,707.684204,200.000000,600.000000
6,2336.842041,4.445418,-438.486862,200.000000,567.368408,200.000000,600.000000
7,1511.315765,4.767832,-515.953922,200.000000,402.263153,200.000000,600.000000
8,1216.315765,5.027312,-184.375000,200.000000,343.263153,200.000000,600.000000
9,935.263214,5.226835,-175.657845,200.000000,287.052643,200.000000,600.000000
10,862.368469,5.410807,-45.559216,200.000000,272.473694,200.000000,600.000000
11,708.421021,5.561937,-96.217155,200.000000,241.684204,200.000000,600.000000
12,517.631607,5.672365,-119.243383,200.000000,203.526321,200.000000,600.000000
13,454.473648,5.769319,-39.473724,200.000000,190.894730,200.000000,600.000000
14,326.578979,5.838989,-79.934168,200.000000,165.315796,200.000000,600.000000
15,239.210510,5.890021,-54.605293,190.495238,147.842102,209.504762,590.495238
16,159.210510,5.923986,-50.000000,115.134496,131.842102,284.865504,515.134496
17,98.157883,5.944926,-38.157892,65.944917,119.631577,334.055083,465.944917
18,13.157883,5.947733,-53.125000,-34.019384,102.631577,434.019384,365.980616
19,-29.736824,5.941389,-26.809192,-50.604626,94.052635,450.604626,349.395374
20,-48.947372,5.930947,-12.006593,-55.023018,90.210526,455.023018,344.976982
21,-76.315804,5.914667,-17.105269,-87.506406,84.736839,487.506406,312.493594
22,-70.789490,5.899565,3.453946,-61.435979,85.842102,461.435979,338.564021
23,-98.947372,5.878456,-17.598677,-110.667593,80.210526,510.667593,289.332407
24,-106.842117,5.855663,-4.934216,-105.920670,78.631577,505.920670,294.079330
25,-120.263176,5.830007,-8.388162,-122.821331,75.947365,522.821331,277.178669
26,-119.210510,5.804575,0.657916,-112.748019,76.157898,512.748019,287.251981
27,-113.947372,5.780267,3.289461,-104.877645,77.210526,504.877645,295.122355
28,-125.263176,5.753544,-7.072377,-126.582009,74.947365,526.582009,273.417991
29,-136.052628,5.724519,-6.743407,-137.071516,72.789474,537.071516,262.928484
30,-181.315784,5.685839,-28.289473,-200.000000,63.736843,600.000000,200.000000
31,-165.000000,5.650639,10.197365,-149.151996,67.000000,549.151996,250.848004
32,-163.947372,5.615663,0.657892,-157.673817,67.210526,557.673817,242.326183
33,-191.578941,5.574793,-17.269731,-200.000000,61.684212,600.000000,200.000000
34,-163.421059,5.539930,17.598677,-140.282452,67.315788,540.282452,259.717548
35,-182.368412,5.501025,-11.842096,-188.709483,63.526318,588.709483,211.290517
36,-154.736824,5.468014,17.269742,-131.999068,69.052635,531.999068,268.000932
37,-164.736824,5.432870,-6.250000,-165.553954,67.052635,565.553954,234.446046
38,-158.684196,5.399018,3.782892,-149.502287,68.263161,549.502287,250.497713
39,-167.105255,5.363368,-5.263162,-167.005048,66.578949,567.005048,232.994952
40,-154.210510,5.330470,8.059216,-140.820825,69.157898,540.820825,259.179175
41,-146.315804,5.299256,4.934192,-136.082356,70.736839,536.082356,263.917644
42,-154.736824,5.266246,-5.263138,-154.733716,69.052635,554.733716,245.266284
43,-129.210510,5.238681,15.953946,-108.017883,74.157898,508.017883,291.982117
44,-160.000000,5.204547,-19.243431,-174.038884,68.000000,574.038884,225.961116
