time,P,I,D,ds,prox_right,left speed,right speed
1,4106.052551,0.131394,1283.141422,200.000000,921.210510,200.000000,600.000000
2,4069.473572,0.261617,-11.430931,200.000000,913.894714,200.000000,600.000000
3,3801.842041,0.383276,-83.634853,200.000000,860.368408,200.000000,600.000000
4,3480.000000,0.494636,-100.575638,200.000000,796.000000,200.000000,600.000000
5,3038.421021,0.591865,-137.993431,200.000000,707.684204,200.000000,600.000000
6,2336.842041,0.666644,-219.243431,200.000000,567.368408,200.000000,600.000000
7,1508.684235,0.714922,-258.799314,200.000000,401.736847,200.000000,600.000000
8,1216.315765,0.753844,-91.365147,200.000000,343.263153,200.000000,600.000000
9,935.263214,0.783773,-87.828922,200.000000,287.052643,200.000000,600.000000
10,862.368469,0.811368,-22.779608,200.000000,272.473694,200.000000,600.000000
11,708.421021,0.834038,-48.108578,200.000000,241.684204,200.000000,600.000000
12,517.631607,0.850602,-59.621692,200.000000,203.526321,200.000000,600.000000
13,454.473648,0.865145,-19.736862,200.000000,190.894730,200.000000,600.000000
14,326.578979,0.875596,-39.967084,200.000000,165.315796,200.000000,600.000000
15,239.210510,0.883251,-27.302647,200.000000,147.842102,200.000000,600.000000
16,156.578979,0.888261,-25.822353,131.644887,131.315796,268.355113,531.644887
17,91.315804,0.891183,-20.394742,71.812244,118.263161,328.187756,471.812244
18,2.631569,0.891267,-27.713823,-24.190987,100.526314,424.190987,375.809013
19,-36.578941,0.890097,-12.253284,-47.942129,92.684212,447.942129,352.057871
20,-46.842117,0.888598,-3.207242,-49.160762,90.631577,449.160762,350.839238
21,-75.263176,0.886189,-8.881581,-83.258567,84.947365,483.258567,316.741433
22,-69.736824,0.883958,1.726985,-67.125881,86.052635,467.125881,332.874119
23,-97.894745,0.880825,-8.799350,-105.813270,80.421051,505.813270,294.186730
24,-105.789490,0.877440,-2.467108,-107.379158,78.842102,507.379158,292.620842
25,-120.263176,0.873592,-4.523027,-123.912611,75.947365,523.912611,276.087389
26,-118.157883,0.869811,0.657904,-116.630168,76.368423,516.630168,283.369832
27,-113.947372,0.866164,1.315784,-111.765424,77.210526,511.765424,288.234576
28,-125.263176,0.862156,-3.536189,-127.937209,74.947365,527.937209,272.062791
29,-135.000000,0.857836,-3.042758,-137.184922,73.000000,537.184922,262.815078
30,-181.315784,0.852034,-14.473683,-194.937433,63.736843,594.937433,205.062567
31,-165.000000,0.846754,5.098683,-159.054564,67.000000,559.054564,240.945436
32,-163.947372,0.841507,0.328946,-162.776919,67.210526,562.776919,237.223081
33,-191.578941,0.835377,-8.634865,-199.378430,61.684212,599.378430,200.621570
34,-163.421059,0.830147,8.799338,-153.791573,67.315788,553.791573,246.208427
35,-182.368412,0.824312,-5.921048,-187.465148,63.526318,587.465148,212.534852
36,-160.000000,0.819192,6.990129,-152.190680,68.000000,552.190680,247.809320
37,-170.000000,0.813752,-3.125000,-172.311248,66.000000,572.311248,227.688752
38,-161.315804,0.808589,2.713811,-157.793403,67.736839,557.793403,242.206597
39,-172.368431,0.803074,-3.453946,-175.019304,65.526314,575.019304,224.980696
40,-156.842117,0.798055,4.851973,-151.192090,68.631577,551.192090,248.807910
41,-151.578941,0.793204,1.644742,-149.140995,69.684212,549.140995,250.859005
42,-157.368431,0.788168,-1.809216,-158.389478,68.526314,558.389478,241.610522
43,-134.473686,0.783865,7.154608,-126.535213,73.105263,526.535213,273.464787
44,-165.263176,0.778577,-9.621716,-174.106315,66.947365,574.106315,225.893685
45,-154.736824,0.773625,3.289485,-150.673714,69.052635,550.673714,249.326286
46,-175.263176,0.768017,-6.414485,-180.909644,64.947365,580.909644,219.090356
47,-168.157883,0.762636,2.220404,-165.174843,66.368423,565.174843,234.825157
48,-157.368431,0.757600,3.371704,-153.239127,68.526314,553.239127,246.760873
49,-153.684196,0.752682,1.151323,-151.780191,69.263161,551.780191,248.219809
50,-174.473686,0.747099,-6.496716,-180.223303,65.105263,580.223303,219.776697
51,-171.578941,0.741608,0.904608,-169.932725,65.684212,569.932725,230.067275
52,-155.789490,0.736623,4.934204,-150.118663,68.842102,550.118663,249.881337
53,-157.631569,0.731579,-0.575650,-157.475640,68.473686,557.475640,242.524360
54,-156.315804,0.726577,0.411177,-155.178050,68.736839,555.178050,244.821950
55,-113.421059,0.722947,13.404608,-99.293504,77.315788,499.293504,300.706496
56,-133.421059,0.718678,-6.250000,-138.952381,73.315788,538.952381,261.047619
57,-115.526314,0.714981,5.592108,-109.219225,76.894737,509.219225,290.780775
58,-108.421059,0.711512,2.220392,-105.489155,78.315788,505.489155,294.510845
59,-126.842117,0.707453,-5.756581,-131.891246,74.631577,531.891246,268.108754
60,-98.947372,0.704286,8.717108,-89.525978,80.210526,489.525978,310.474022
61,-69.473686,0.702063,9.210527,-59.561096,86.105263,459.561096,340.438904
62,-84.736824,0.699352,-4.769731,-88.807203,83.052635,488.807203,311.192797
63,-45.789490,0.697886,12.171042,-32.920561,90.842102,432.920561,367.079439
64,-43.947372,0.696480,0.575662,-42.675231,91.210526,442.675231,357.324769
65,-9.210510,0.696185,10.855269,2.340944,98.157898,397.659056,402.340944
66,51.578941,0.697836,18.996704,71.273481,110.315788,328.726519,471.273481
67,129.473686,0.701979,24.342108,154.517773,125.894737,245.482227,554.517773
68,181.052628,0.707773,16.118419,197.878819,136.210526,202.121181,597.878819
69,192.631607,0.713937,3.618431,196.963975,138.526321,203.036025,596.963975
70,306.842117,0.723756,35.690784,200.000000,161.368423,200.000000,600.000000
71,420.000000,0.737196,35.361838,200.000000,184.000000,200.000000,600.000000
72,487.105255,0.752783,20.970392,200.000000,197.421051,200.000000,600.000000
73,597.105255,0.771891,34.375000,200.000000,219.421051,200.000000,600.000000
74,682.894745,0.793743,26.809216,200.000000,236.578949,200.000000,600.000000
