time,P,I,D,ds,prox_right,left speed,right speed
1,8212.105103,0.000000,64157.071114,200.000000,921.210510,200.000000,600.000000
2,8144.210815,0.000000,-530.424118,200.000000,914.421082,200.000000,600.000000
3,7608.947144,0.000000,-4181.747437,200.000000,860.894714,200.000000,600.000000
4,6960.000000,0.000000,-5069.899559,200.000000,796.000000,200.000000,600.000000
5,6076.842041,0.000000,-6899.671555,-200.000000,707.684204,600.000000,200.000000
6,5726.315918,0.000000,-2738.485336,200.000000,672.631592,200.000000,600.000000
7,4662.631836,0.000000,-8310.031891,-200.000000,566.263184,600.000000,200.000000
8,4387.368164,0.000000,-2150.497437,200.000000,538.736816,200.000000,600.000000
9,3260.000000,0.000000,-8807.563782,-200.000000,426.000000,600.000000,200.000000
10,3556.315918,0.000000,2314.968109,200.000000,455.631592,200.000000,600.000000
11,2749.473572,0.000000,-6303.455830,-200.000000,374.947357,600.000000,200.000000
12,2511.052551,0.000000,-1862.664223,200.000000,351.105255,200.000000,600.000000
13,2498.421021,0.000000,-98.683834,200.000000,349.842102,200.000000,600.000000
14,2119.473572,0.000000,-2960.526943,-200.000000,311.947357,600.000000,200.000000
15,1977.368469,0.000000,-1110.196114,200.000000,297.736847,200.000000,600.000000
16,1630.000000,0.000000,-2713.816166,-200.000000,263.000000,600.000000,200.000000
17,1565.789490,0.000000,-501.644611,200.000000,256.578949,200.000000,600.000000
18,1406.315765,0.000000,-1245.888472,160.427294,240.631577,239.572706,560.427294
19,1258.421021,0.000000,-1155.427694,102.993326,225.842102,297.006674,502.993326
20,1180.000000,0.000000,-612.664223,200.000000,218.000000,200.000000,600.000000
21,1017.894745,0.000000,-1266.447306,-200.000000,201.789474,600.000000,200.000000
22,984.736786,0.000000,-259.046555,200.000000,198.473679,200.000000,600.000000
23,764.210510,0.000000,-1722.861528,-200.000000,176.421051,600.000000,200.000000
24,751.578979,0.000000,-98.683834,200.000000,175.157898,200.000000,600.000000
25,621.578979,0.000000,-1015.625000,-200.000000,162.157898,600.000000,200.000000
26,591.052704,0.000000,-238.486528,200.000000,159.105270,200.000000,600.000000
27,544.736786,0.000000,-361.843109,182.893677,154.473679,217.106323,582.893677
28,429.473724,0.000000,-900.492668,-200.000000,142.947372,600.000000,200.000000
29,408.947296,0.000000,-160.362720,200.000000,140.894730,200.000000,600.000000
30,235.263138,0.000000,-1356.907487,-200.000000,123.526314,600.000000,200.000000
31,244.736862,0.000000,74.013472,200.000000,124.473686,200.000000,600.000000
32,195.263138,0.000000,-386.513472,-191.250334,119.526314,591.250334,208.749666
33,107.368393,0.000000,-686.677694,-200.000000,110.736839,600.000000,200.000000
34,168.947372,0.000000,481.085777,200.000000,116.894737,200.000000,600.000000
35,77.368393,0.000000,-715.460777,-200.000000,107.736839,600.000000,200.000000
36,113.684235,0.000000,283.717513,200.000000,111.368423,200.000000,600.000000
37,53.684235,0.000000,-468.750000,-200.000000,105.368423,600.000000,200.000000
38,30.000000,0.000000,-185.033083,-155.033083,103.000000,555.033083,244.966917
39,-23.684235,0.000000,-419.408083,-200.000000,97.631577,600.000000,200.000000
40,17.894745,0.000000,324.835777,200.000000,101.789474,200.000000,600.000000
41,-13.684235,0.000000,-246.710777,-200.000000,98.631577,600.000000,200.000000
42,-30.526352,0.000000,-131.579041,-162.105393,96.947365,562.105393,237.894607
43,41.578979,0.000000,563.322902,200.000000,104.157898,200.000000,600.000000
44,-77.894745,0.000000,-933.388472,-200.000000,92.210526,600.000000,200.000000
45,-46.315765,0.000000,246.710777,200.000000,95.368423,200.000000,600.000000
46,-108.421021,0.000000,-485.197306,-200.000000,89.157898,600.000000,200.000000
47,-73.157883,0.000000,275.493264,200.000000,92.684212,200.000000,600.000000
48,-56.842117,0.000000,127.466917,70.624800,94.315788,329.375200,470.624800
49,-60.000000,0.000000,-24.670959,-84.670959,94.000000,484.670959,315.329041
50,-117.368393,0.000000,-448.190570,-200.000000,88.263161,600.000000,200.000000
51,-111.578979,0.000000,45.229793,-66.349187,88.842102,466.349187,333.650813
52,-105.263138,0.000000,49.342513,-55.920625,89.473686,455.920625,344.079375
53,-142.631607,0.000000,-291.941166,-200.000000,85.736839,600.000000,200.000000
54,-155.789490,0.000000,-102.795959,-200.000000,84.421051,600.000000,200.000000
55,-66.842117,0.000000,694.901347,200.000000,93.315788,200.000000,600.000000
56,-121.578979,0.000000,-427.631736,-200.000000,87.842102,600.000000,200.000000
57,-94.210510,0.000000,213.816166,119.605656,90.578949,280.394344,519.605656
58,-83.157883,0.000000,86.348653,3.190770,91.684212,396.809230,403.190770
59,-146.315765,0.000000,-493.420959,-200.000000,85.368423,600.000000,200.000000
60,-115.263138,0.000000,242.598653,127.335515,88.473686,272.664485,527.335515
61,-83.157883,0.000000,250.822306,167.664423,91.684212,232.335577,567.664423
62,-136.842117,0.000000,-419.408083,-200.000000,86.315788,600.000000,200.000000
63,-72.631607,0.000000,501.644611,200.000000,92.736839,200.000000,600.000000
64,-113.684235,0.000000,-320.723653,-200.000000,88.631577,600.000000,200.000000
65,-121.578979,0.000000,-61.677694,-183.256674,87.842102,583.256674,216.743326
66,-106.842117,0.000000,115.131736,8.289618,89.315788,391.710382,408.289618
67,-91.578979,0.000000,119.243264,27.664285,90.842102,372.335715,427.664285
68,-87.368393,0.000000,32.895207,-54.473186,91.263161,454.473186,345.526814
69,-168.947372,0.000000,-637.335777,-200.000000,83.105263,600.000000,200.000000
70,-114.736862,0.000000,423.519611,200.000000,88.526314,200.000000,600.000000
71,-88.421021,0.000000,205.592513,117.171493,91.157898,282.828507,517.171493
72,-126.315765,0.000000,-296.052694,-200.000000,87.368423,600.000000,200.000000
73,-94.736862,0.000000,246.710181,151.973319,90.526314,248.026681,551.973319
74,-135.789490,0.000000,-320.723653,-200.000000,86.421051,600.000000,200.000000
75,-98.947372,0.000000,287.829041,188.881669,90.105263,211.118331,588.881669
76,-114.736862,0.000000,-123.355389,-200.000000,88.526314,600.000000,200.000000
77,-171.578979,0.000000,-444.079041,-200.000000,82.842102,600.000000,200.000000
78,-118.947372,0.000000,411.184430,200.000000,88.105263,200.000000,600.000000
79,-122.631607,0.000000,-28.783083,-151.414690,87.736839,551.414690,248.585310
80,-160.526352,0.000000,-296.052694,-200.000000,83.947365,600.000000,200.000000
81,-132.631607,0.000000,217.927694,85.296087,86.736839,314.703913,485.296087
82,-150.000000,0.000000,-135.690570,-200.000000,85.000000,600.000000,200.000000
83,-125.789490,0.000000,189.144611,63.355122,87.421051,336.644878,463.355122
84,-104.210510,0.000000,168.585777,64.375267,89.578949,335.624733,464.375267
85,-113.157883,0.000000,-69.901347,-183.059230,88.684212,583.059230,216.940770
86,-56.842117,0.000000,439.966917,200.000000,94.315788,200.000000,600.000000
87,-118.421021,0.000000,-481.085181,-200.000000,88.157898,600.000000,200.000000
88,-63.684235,0.000000,427.631140,200.000000,93.631577,200.000000,600.000000
89,-78.947372,0.000000,-119.243264,-198.190637,92.105263,598.190637,201.809363
90,-64.736862,0.000000,111.019611,46.282749,93.526314,353.717251,446.282749
91,-57.368393,0.000000,57.566166,0.197773,94.263161,399.802227,400.197773
92,-64.736862,0.000000,-57.566166,-122.303028,93.526314,522.303028,277.696972
93,-27.894745,0.000000,287.829041,200.000000,97.210526,200.000000,600.000000
94,-30.000000,0.000000,-16.447306,-46.447306,97.000000,446.447306,353.552694
95,-47.894745,0.000000,-139.802694,-187.697439,95.210526,587.697439,212.302561
96,-21.052628,0.000000,209.704041,188.651414,97.894737,211.348586,588.651414
97,16.842117,0.000000,296.052694,200.000000,101.684212,200.000000,600.000000
98,-98.947372,0.000000,-904.605389,-200.000000,90.105263,600.000000,200.000000
99,67.368393,0.000000,1299.341917,200.000000,106.736839,200.000000,600.000000
100,-0.526352,0.000000,-530.427694,-200.000000,99.947365,600.000000,200.000000
101,6.842117,0.000000,57.566166,64.408283,100.684212,335.591717,464.408283
102,33.684235,0.000000,209.704041,200.000000,103.368423,200.000000,600.000000
103,60.526352,0.000000,209.704041,200.000000,106.052635,200.000000,600.000000
104,40.526352,0.000000,-156.250000,-115.723648,104.052635,515.723648,284.276352
105,28.947372,0.000000,-90.460777,-61.513405,102.894737,461.513405,338.486595
106,77.894745,0.000000,382.401347,200.000000,107.789474,200.000000,600.000000
107,45.789490,0.000000,-250.822306,-200.000000,104.578949,600.000000,200.000000
108,41.052628,0.000000,-37.006736,4.045892,104.105263,395.954108,404.045892
109,63.684235,0.000000,176.809430,200.000000,106.368423,200.000000,600.000000
110,31.578979,0.000000,-250.822306,-200.000000,103.157898,600.000000,200.000000
111,48.947372,0.000000,135.690570,184.637942,104.894737,215.362058,584.637942
112,20.000000,0.000000,-226.151347,-200.000000,102.000000,600.000000,200.000000
113,82.105255,0.000000,485.197306,200.000000,108.210526,200.000000,600.000000
114,13.684235,0.000000,-534.539223,-200.000000,101.368423,600.000000,200.000000
115,161.052628,0.000000,1151.315570,200.000000,116.105263,200.000000,600.000000
116,11.052628,0.000000,-1171.875000,-200.000000,101.105263,600.000000,200.000000
117,65.263138,0.000000,423.519611,200.000000,106.526314,200.000000,600.000000
118,117.368393,0.000000,407.072306,200.000000,111.736839,200.000000,600.000000
119,94.210510,0.000000,-180.920959,-86.710448,109.421051,486.710448,313.289552
120,79.473648,0.000000,-115.131736,-35.658088,107.947365,435.658088,364.341912
121,92.105255,0.000000,98.684430,190.789685,109.210526,209.210315,590.789685
122,56.842117,0.000000,-275.493264,-200.000000,105.684212,600.000000,200.000000
123,52.105255,0.000000,-37.006736,15.098519,105.210526,384.901481,415.098519
124,41.578979,0.000000,-82.236528,-40.657549,104.157898,440.657549,359.342451
