time,P,I,D,ds,left speed,right speed
1,-2883.246765,-0.000000,-4505073.070526,-4507956.317291,4507956.317291,-4507956.317291
2,-698.051758,-0.000000,3414367.198944,3413669.147186,-3413669.147186,3413669.147186
3,-3072.857056,-0.000000,-3710633.277893,-3713706.134949,3713706.134949,-3713706.134949
4,-902.597656,-0.000000,3391030.311584,3390127.713928,-3390127.713928,3390127.713928
5,-3104.285583,-0.000000,-3440137.386322,-3443241.671906,3443241.671906,-3443241.671906
6,-825.844116,-0.000000,3560064.792633,3559238.948517,-3559238.948517,3559238.948517
7,-3170.130005,-0.000000,-3662946.701050,-3666116.831055,3666116.831055,-3666116.831055
8,-943.117065,-0.000000,3479707.717896,3478764.600830,-3478764.600830,3478764.600830
9,-3183.116760,-0.000000,-3499999.523163,-3503182.639923,3503182.639923,-3503182.639923
10,-781.428833,-0.000000,3752637.386322,3751855.957489,-3751855.957489,3751855.957489
11,-3077.402649,-0.000000,-3587459.087372,-3590536.490021,3590536.490021,-3590536.490021
12,-825.844116,-0.000000,3518060.207367,3517234.363251,-3517234.363251,3517234.363251
13,-3048.311768,-0.000000,-3472605.705261,-3475654.017029,3475654.017029,-3475654.017029
14,-715.194702,-0.000000,3645495.414734,3644780.220032,-3644780.220032,3644780.220032
15,-3063.116760,-0.000000,-3668628.215790,-3671691.332550,3671691.332550,-3671691.332550
16,-817.272949,-0.000000,3509130.954742,3508313.681793,-3508313.681793,3508313.681793
17,-3062.467651,-0.000000,-3508116.722107,-3511179.189758,3511179.189758,-3511179.189758
18,-612.597656,-0.000000,3827921.867371,3827309.269714,-3827309.269714,3827309.269714
19,-3031.168823,-0.000000,-3779017.448425,-3782048.617249,3782048.617249,-3782048.617249
20,-440.130005,-0.000000,4048498.153687,4048058.023682,-4048058.023682,4048058.023682
21,-3002.467651,-0.000000,-4003652.572632,-4006655.040283,4006655.040283,-4006655.040283
22,-362.337646,-0.000000,4125203.132629,4124840.794983,-4124840.794983,4124840.794983
23,-3037.792358,-0.000000,-4180397.987366,-4183435.779724,4183435.779724,-4183435.779724
24,-713.895874,-0.000000,3631088.256836,3630374.360962,-3630374.360962,3630374.360962
25,-3102.337646,-0.000000,-3731940.269470,-3735042.607117,3735042.607117,-3735042.607117
26,-699.480591,-0.000000,3754464.149475,3753764.668884,-3753764.668884,3753764.668884
27,-2972.727356,-0.000000,-3551948.070526,-3554920.797882,3554920.797882,-3554920.797882
28,-434.415283,-0.000000,3966112.613678,3965678.198395,-3965678.198395,3965678.198395
29,-2937.142944,-0.000000,-3910511.970520,-3913449.113464,3913449.113464,-3913449.113464
30,-607.662354,-0.000000,3639813.423157,3639205.760803,-3639205.760803,3639205.760803
31,-3021.947937,-0.000000,-3772321.224213,-3775343.172150,3775343.172150,-3775343.172150
32,-724.805298,-0.000000,3589285.373688,3588560.568390,-3588560.568390,3588560.568390
33,-3148.831177,-0.000000,-3787540.435791,-3790689.266968,3790689.266968,-3790689.266968
34,-805.324707,-0.000000,3661728.858948,3660923.534241,-3660923.534241,3660923.534241
35,-3109.610291,-0.000000,-3600446.224213,-3603555.834503,3603555.834503,-3603555.834503
36,-578.051758,-0.000000,3955560.207367,3954982.155609,-3954982.155609,3954982.155609
37,-3032.987061,-0.000000,-3835836.410522,-3838869.397583,3838869.397583,-3838869.397583
38,-605.064697,-0.000000,3793628.692627,3793023.627930,-3793023.627930,3793023.627930
