time,P,I,D,ds,prox_right,left speed,right speed
1,4106.052551,0.131394,10265.131378,200.000000,921.210510,200.000000,600.000000
2,4069.473572,0.261617,-91.447449,200.000000,913.894714,200.000000,600.000000
3,3801.842041,0.383276,-669.078827,200.000000,860.368408,200.000000,600.000000
4,3477.368469,0.494552,-811.183929,200.000000,795.473694,200.000000,600.000000
5,3035.789490,0.591697,-1103.947449,200.000000,707.157898,200.000000,600.000000
6,2334.210510,0.666392,-1753.947449,200.000000,566.842102,200.000000,600.000000
7,1506.052704,0.714585,-2070.394516,-200.000000,401.210541,600.000000,200.000000
8,1372.631531,0.758509,-333.552933,200.000000,374.526306,200.000000,600.000000
9,1133.684235,0.794787,-597.368240,200.000000,326.736847,200.000000,600.000000
10,1016.578979,0.827318,-292.763138,200.000000,303.315796,200.000000,600.000000
11,833.684235,0.853996,-457.236862,200.000000,266.736847,200.000000,600.000000
12,691.315765,0.876118,-355.921173,200.000000,238.263153,200.000000,600.000000
13,601.315765,0.895360,-225.000000,200.000000,220.263153,200.000000,600.000000
14,473.421021,0.910509,-319.736862,154.594668,194.684204,245.405332,554.594668
15,366.578979,0.922240,-267.105103,100.396117,173.315796,299.603883,500.396117
16,260.263138,0.930568,-265.789604,-4.595898,152.052628,404.595898,395.404102
17,201.315765,0.937011,-147.368431,54.884345,140.263153,345.115655,454.884345
18,148.421021,0.941760,-132.236862,17.125918,129.684204,382.874082,417.125918
19,100.263176,0.944968,-120.394611,-19.186467,120.052635,419.186467,380.813533
20,84.210510,0.947663,-40.131664,45.026509,116.842102,354.973491,445.026509
21,52.631569,0.949347,-78.947353,-25.366437,110.526314,425.366437,374.633563
22,44.473686,0.950771,-20.394707,25.029750,108.894737,374.970250,425.029750
23,10.000000,0.951091,-86.184216,-75.233125,102.000000,475.233125,324.766875
24,-10.000000,0.950771,-50.000000,-59.049229,98.000000,459.049229,340.950771
25,-37.105255,0.949583,-67.763138,-103.918810,92.578949,503.918810,296.081190
26,-43.421059,0.948194,-15.789509,-58.262374,91.315788,458.262374,341.737626
27,-48.684196,0.946636,-13.157845,-60.895405,90.263161,460.895405,339.104595
28,-65.263176,0.944547,-41.447449,-105.766077,86.947365,505.766077,294.233923
29,-71.315804,0.942265,-15.131569,-85.505107,85.736839,485.505107,314.494893
30,-119.736824,0.938434,-121.052551,-200.000000,76.052635,600.000000,200.000000
31,-110.789490,0.934888,22.368336,-87.486266,77.842102,487.486266,312.513734
32,-119.210510,0.931074,-21.052551,-139.331988,76.157898,539.331988,260.668012
33,-144.210510,0.926459,-62.500000,-200.000000,71.157898,600.000000,200.000000
34,-108.157883,0.922998,90.131569,-17.103316,78.368423,417.103316,382.896684
35,-137.631569,0.918594,-73.684216,-200.000000,72.473686,600.000000,200.000000
36,-104.736824,0.915242,82.236862,-21.584720,79.052635,421.584720,378.415280
37,-125.263176,0.911234,-51.315880,-175.667822,74.947365,575.667822,224.332178
38,-116.578941,0.907503,21.710587,-93.960852,76.684212,493.960852,306.039148
39,-130.263176,0.903335,-34.210587,-163.570428,73.947365,563.570428,236.429572
40,-114.736824,0.899663,38.815880,-75.021281,77.052635,475.021281,324.978719
41,-112.105255,0.896076,6.578922,-104.630257,77.578949,504.630257,295.369743
42,-120.526314,0.892219,-21.052647,-140.686741,75.894737,540.686741,259.313259
43,-95.000000,0.889179,63.815784,-30.295037,81.000000,430.295037,369.704963
44,-128.421059,0.885069,-83.552647,-200.000000,74.315788,600.000000,200.000000
45,-115.263176,0.881381,32.894707,-81.487088,76.947365,481.487088,318.512912
46,-133.157883,0.877120,-44.736767,-177.017530,73.368423,577.017530,222.982470
47,-123.421059,0.873171,24.342060,-98.205828,75.315788,498.205828,301.794172
48,-110.000000,0.869651,33.552647,-75.577703,78.000000,475.577703,324.422297
49,-106.315804,0.866248,9.210491,-96.239064,78.736839,496.239064,303.760936
50,-127.105255,0.862181,-51.973629,-178.216703,74.578949,578.216703,221.783297
51,-126.842117,0.858122,0.657845,-125.326151,74.631577,525.326151,274.673849
52,-123.684196,0.854164,7.894802,-114.935230,75.263161,514.935230,285.064770
