time,P,I,D,ds,prox_right,left speed,right speed
1,4106.052551,2.627874,2566.282845,200.000000,921.210510,200.000000,600.000000
2,4072.105408,5.234021,-21.216965,200.000000,914.421082,200.000000,600.000000
3,3804.473572,7.668884,-167.269897,200.000000,860.894714,200.000000,600.000000
4,3482.631531,9.897768,-201.151276,200.000000,796.526306,200.000000,600.000000
5,3041.052551,11.844042,-275.986862,200.000000,708.210510,200.000000,600.000000
6,2339.473572,13.341305,-438.486862,200.000000,567.894714,200.000000,600.000000
7,1511.315765,14.308547,-517.598629,200.000000,402.263153,200.000000,600.000000
8,1216.315765,15.086989,-184.375000,200.000000,343.263153,200.000000,600.000000
9,936.315765,15.686231,-175.000000,200.000000,287.263153,200.000000,600.000000
10,862.368469,16.238147,-46.217060,200.000000,272.473694,200.000000,600.000000
11,709.473648,16.692210,-95.559263,200.000000,241.894730,200.000000,600.000000
12,517.631607,17.023495,-119.901276,200.000000,203.526321,200.000000,600.000000
13,454.473648,17.314358,-39.473724,200.000000,190.894730,200.000000,600.000000
14,326.578979,17.523368,-79.934168,200.000000,165.315796,200.000000,600.000000
15,239.210510,17.676463,-54.605293,200.000000,147.842102,200.000000,600.000000
16,156.578979,17.776673,-51.644707,122.710946,131.315796,277.289054,522.710946
17,93.947372,17.836800,-39.144754,72.639418,118.789474,327.360582,472.639418
18,5.263176,17.840168,-55.427623,-32.324279,101.052635,432.324279,367.675721
19,-37.631569,17.816084,-26.809216,-46.624700,92.473686,446.624700,353.375300
20,-47.894745,17.785431,-6.414485,-36.523798,90.421051,436.523798,363.476202
21,-75.263176,17.737263,-17.105269,-74.631182,84.947365,474.631182,325.368818
22,-69.736824,17.692631,3.453970,-48.590223,86.052635,448.590223,351.409777
23,-96.842117,17.630652,-16.940808,-96.152273,80.631577,496.152273,303.847727
24,-104.736824,17.563621,-4.934192,-92.107395,79.052635,492.107395,307.892605
25,-119.210510,17.487326,-9.046054,-110.769238,76.157898,510.769238,289.230762
26,-117.105255,17.412379,1.315784,-98.377092,76.578949,498.377092,301.622908
27,-111.842117,17.340800,3.289461,-91.211856,77.631577,491.211856,308.788144
28,-121.052628,17.263326,-5.756569,-109.545870,75.789474,509.545870,290.454130
29,-129.736824,17.180295,-5.427623,-117.984152,74.052635,517.984152,282.015848
30,-173.947372,17.068968,-27.631593,-184.509997,65.210526,584.509997,215.490003
31,-165.000000,16.963368,5.592108,-142.444524,67.000000,542.444524,257.555476
32,-163.947372,16.858442,0.657892,-146.431038,67.210526,546.431038,253.568962
33,-191.578941,16.735831,-17.269731,-192.112840,61.684212,592.112840,207.887160
34,-163.421059,16.631242,17.598677,-129.191140,67.315788,529.191140,270.808860
35,-182.368412,16.514526,-11.842096,-177.695982,63.526318,577.695982,222.304018
36,-160.000000,16.412126,13.980258,-129.607616,68.000000,529.607616,270.392384
37,-170.000000,16.303326,-6.250000,-159.946674,66.000000,559.946674,240.053326
38,-163.947372,16.198400,3.782892,-143.966080,67.210526,543.966080,256.033920
39,-175.000000,16.086400,-6.907892,-165.821492,65.000000,565.821492,234.178508
40,-164.736824,15.980968,6.414485,-142.341371,67.052635,542.341371,257.658629
41,-159.473686,15.878905,3.289461,-140.305320,68.105263,540.305320,259.694680
42,-165.263176,15.773137,-3.618431,-153.108470,66.947365,553.108470,246.891530
43,-142.368431,15.682021,14.309216,-112.377195,71.526314,512.377195,287.622805
44,-173.157883,15.571200,-19.243407,-176.830090,65.368423,576.830090,223.169910
45,-160.000000,15.468800,8.223677,-136.307523,68.000000,536.307523,263.692477
46,-180.526314,15.353263,-12.828946,-178.001997,63.894737,578.001997,221.998003
47,-170.789490,15.243958,6.085515,-149.460017,65.842102,549.460017,250.539983
48,-157.368431,15.143242,8.388162,-133.837028,68.526314,533.837028,266.162972
49,-153.684196,15.044884,2.302647,-136.336666,69.263161,536.336666,263.663334
50,-174.473686,14.933221,-12.993431,-172.533896,65.105263,572.533896,227.466104
51,-171.578941,14.823410,1.809216,-154.946315,65.684212,554.946315,245.053685
52,-168.421059,14.715621,1.973677,-151.731761,66.315788,551.731761,248.268239
53,-181.842098,14.599242,-8.388150,-175.631006,63.631580,575.631006,224.368994
54,-191.052628,14.476968,-5.756581,-182.332240,61.789474,582.332240,217.667760
55,-146.052628,14.383495,28.125000,-103.544133,70.789474,503.544133,296.455867
56,-159.736824,14.281263,-8.552623,-154.008184,68.052635,554.008184,245.991816
57,-135.526314,14.194526,15.131569,-106.200219,72.894737,506.200219,293.799781
58,-124.210510,14.115031,7.072377,-103.023102,75.157898,503.023102,296.976898
59,-141.578941,14.024421,-10.855269,-138.409790,71.684212,538.409790,261.590210
60,-124.473686,13.944758,10.690784,-99.838144,75.105263,499.838144,300.161856
61,-105.263176,13.877389,12.006569,-79.379218,78.947365,479.379218,320.620782
62,-125.263176,13.797221,-12.500000,-123.965955,74.947365,523.965955,276.034045
63,-87.894745,13.740968,23.355269,-50.798507,82.421051,450.798507,349.201493
64,-93.684196,13.681010,-3.618407,-83.621593,81.263161,483.621593,316.378407
65,-84.473686,13.626947,5.756569,-65.090170,83.105263,465.090170,334.909830
66,-66.842117,13.584168,11.019731,-42.238218,86.631577,442.238218,357.761782
67,-45.789490,13.554863,13.157892,-19.076735,90.842102,419.076735,380.923265
68,-10.789490,13.547958,21.875000,24.633468,97.842102,375.366532,424.633468
69,-0.789490,13.547452,6.250000,19.007963,99.842102,380.992037,419.007963
70,77.368431,13.596968,48.848701,139.814100,115.473686,260.185900,539.814100
71,138.947372,13.685895,38.486838,191.120105,127.789474,208.879895,591.120105
72,158.947372,13.787621,12.500000,185.234993,131.789474,214.765007,585.234993
73,251.315765,13.948463,57.730246,200.000000,150.263153,200.000000,600.000000
74,296.315765,14.138105,28.125000,200.000000,159.263153,200.000000,600.000000
75,416.578979,14.404716,75.164509,200.000000,183.315796,200.000000,600.000000
76,479.473648,14.711579,39.309168,200.000000,195.894730,200.000000,600.000000
77,520.789490,15.044884,25.822401,200.000000,204.157898,200.000000,600.000000
78,643.157883,15.456505,76.480246,200.000000,228.631577,200.000000,600.000000
79,702.894745,15.906358,37.335539,200.000000,240.578949,200.000000,600.000000
80,723.421021,16.369347,12.828922,200.000000,244.684204,200.000000,600.000000
81,771.578979,16.863158,30.098724,200.000000,254.315796,200.000000,600.000000
82,763.947372,17.352084,-4.769754,200.000000,252.789474,200.000000,600.000000
83,786.052704,17.855158,13.815832,200.000000,257.210541,200.000000,600.000000
84,778.947372,18.353684,-4.440832,200.000000,255.789474,200.000000,600.000000
85,743.947372,18.829810,-21.875000,200.000000,248.789474,200.000000,600.000000
86,771.052628,19.323284,16.940784,200.000000,254.210526,200.000000,600.000000
87,685.526352,19.762021,-53.453922,200.000000,237.105270,200.000000,600.000000
88,662.894745,20.186274,-14.144754,200.000000,232.578949,200.000000,600.000000
89,582.631607,20.559158,-50.164461,200.000000,216.526321,200.000000,600.000000
90,512.368393,20.887074,-43.914509,200.000000,202.473679,200.000000,600.000000
91,430.789490,21.162779,-50.986814,200.000000,186.157898,200.000000,600.000000
