time,P,I,D,ds,prox_right,left speed,right speed
1,8251.052856,1.760225,5156.908035,200.000000,925.105286,200.000000,600.000000
2,8144.210815,3.497656,-66.776276,200.000000,914.421082,200.000000,600.000000
3,7608.947144,5.120898,-334.539795,200.000000,860.894714,200.000000,600.000000
4,6965.263062,6.606821,-402.302551,200.000000,796.526306,200.000000,600.000000
5,6087.368164,7.905460,-548.684311,200.000000,708.736816,200.000000,600.000000
6,4678.947144,8.903635,-880.263138,200.000000,567.894714,200.000000,600.000000
7,3027.894592,9.549586,-1031.907845,200.000000,402.789459,200.000000,600.000000
8,2437.894592,10.069670,-368.750000,200.000000,343.789459,200.000000,600.000000
9,1877.894592,10.470288,-350.000000,200.000000,287.789459,200.000000,600.000000
10,1724.736938,10.838231,-95.723534,200.000000,272.473694,200.000000,600.000000
11,1418.947296,11.140940,-191.118526,200.000000,241.894730,200.000000,600.000000
12,1035.263214,11.361796,-239.802551,200.000000,203.526321,200.000000,600.000000
13,908.947296,11.555705,-78.947449,200.000000,190.894730,200.000000,600.000000
14,653.157959,11.695045,-159.868336,200.000000,165.315796,200.000000,600.000000
15,478.421021,11.797109,-109.210587,200.000000,147.842102,200.000000,600.000000
16,313.157959,11.863916,-103.289413,200.000000,131.315796,200.000000,600.000000
17,148.947372,11.895691,-102.631617,58.211447,114.894737,341.788553,458.211447
18,-22.105255,11.890975,-106.907892,-117.122172,97.789474,517.122172,282.877828
19,-66.842117,11.876716,-27.960539,-82.925941,93.315788,482.925941,317.074059
20,-100.000000,11.855382,-20.723677,-108.868294,90.000000,508.868294,291.131706
21,-161.052628,11.821024,-38.157892,-187.389495,83.894737,587.389495,212.610505
22,-131.052628,11.793067,18.750000,-100.509561,86.894737,500.509561,299.490439
23,-189.473648,11.752645,-36.513138,-200.000000,81.052635,600.000000,200.000000
24,-175.789490,11.715144,8.552599,-155.521747,82.421051,555.521747,244.478253
25,-182.631607,11.676182,-4.276323,-175.231748,81.736839,575.231748,224.768252
26,-163.684235,11.641263,11.842108,-140.200864,83.631577,540.200864,259.799136
27,-162.631607,11.606568,0.657892,-150.367147,83.736839,550.367147,249.632853
28,-196.842117,11.564575,-21.381569,-200.000000,80.315788,600.000000,200.000000
29,-186.842117,11.524716,6.250000,-169.067402,81.315788,569.067402,230.932598
30,-235.263138,11.474526,-30.263138,-200.000000,76.473686,600.000000,200.000000
31,-187.894745,11.434442,29.605246,-146.855057,81.210526,546.855057,253.144943
32,-175.263138,11.397052,7.894754,-155.971331,82.473686,555.971331,244.028669
33,-225.263138,11.348996,-31.250000,-200.000000,77.473686,600.000000,200.000000
34,-163.684235,11.314077,38.486814,-113.883343,83.631577,513.883343,286.116657
35,-201.578979,11.271074,-23.684216,-200.000000,79.842102,600.000000,200.000000
36,-151.578979,11.238737,31.250000,-109.090243,84.842102,509.090243,290.909757
37,-171.578979,11.202133,-12.500000,-172.876846,82.842102,572.876846,227.123154
38,-164.736862,11.166989,4.276323,-149.293550,83.526314,549.293550,250.706450
39,-181.578979,11.128252,-10.526323,-180.977050,81.842102,580.977050,219.022950
40,-161.052628,11.093895,12.828970,-137.129763,83.894737,537.129763,262.870237
41,-150.526352,11.061782,6.578922,-132.885647,84.947365,532.885647,267.114353
42,-162.105255,11.027200,-7.236814,-158.314870,83.789474,558.314870,241.685130
43,-121.578979,11.001263,25.328922,-85.248794,87.842102,485.248794,314.751206
44,-177.894745,10.963312,-35.197353,-200.000000,82.210526,600.000000,200.000000
45,-162.105255,10.928730,9.868431,-141.308094,83.789474,541.308094,258.691906
46,-182.105255,10.889881,-12.500000,-183.715375,81.789474,583.715375,216.284625
47,-140.526352,10.859902,25.986814,-103.679636,85.947365,503.679636,296.320364
48,-91.578979,10.840365,30.592108,-50.146507,90.842102,450.146507,349.853493
49,-58.947372,10.827789,20.394754,-27.724829,94.105263,427.724829,372.275171
50,-80.526352,10.810610,-13.486862,-83.202604,91.947365,483.202604,316.797396
51,-57.894745,10.798259,14.144754,-32.951731,94.210526,432.951731,367.048269
52,-42.105255,10.789277,9.868431,-21.447547,95.789474,421.447547,378.552453
53,-55.263138,10.777488,-8.223677,-52.709327,94.473686,452.709327,347.290673
54,-56.842117,10.765361,-0.986862,-47.063618,94.315788,447.063618,352.936382
55,38.421021,10.773558,59.539461,108.734039,103.842102,291.265961,508.734039
56,7.894745,10.775242,-19.078922,-0.408936,100.789474,400.408936,399.591064
57,63.684235,10.788828,34.868431,109.341494,106.368423,290.658506,509.341494
58,107.368393,10.811733,27.302599,145.482725,110.736839,254.517275,545.482725
59,86.315765,10.830147,-13.157892,83.988020,108.631577,316.011980,483.988020
60,158.421021,10.863944,45.065784,200.000000,115.842102,200.000000,600.000000
61,234.736862,10.914021,47.697401,200.000000,123.473686,200.000000,600.000000
62,197.894745,10.956238,-23.026323,185.824660,119.789474,214.175340,585.824660
63,285.263214,11.017095,54.605293,200.000000,128.526321,200.000000,600.000000
64,265.263138,11.073684,-12.500048,200.000000,126.526314,200.000000,600.000000
65,267.894745,11.130835,1.644754,200.000000,126.789474,200.000000,600.000000
66,268.947372,11.188210,0.657892,200.000000,126.894737,200.000000,600.000000
67,229.473648,11.237165,-24.671078,200.000000,122.947365,200.000000,600.000000
68,196.842117,11.279158,-20.394707,187.726568,119.684212,212.273432,587.726568
69,67.894745,11.293642,-80.592108,-1.403721,106.789474,401.403721,398.596279
70,127.368393,11.320814,37.171030,175.860237,112.736839,224.139763,575.860237
71,132.631607,11.349109,3.289509,147.270224,113.263161,252.729776,547.270224
72,57.894745,11.361459,-46.710539,22.545665,105.789474,377.454335,422.545665
73,84.210510,11.379424,16.447353,112.037288,108.421051,287.962712,512.037288
74,-4.210510,11.378526,-55.263138,-48.095122,99.578949,448.095122,351.904878
75,37.894745,11.386610,26.315784,75.597140,103.789474,324.402860,475.597140
76,-20.000000,11.382344,-36.184216,-44.801872,98.000000,444.801872,355.198128
77,-103.157883,11.360337,-51.973677,-143.771223,89.684212,543.771223,256.228777
78,-29.473648,11.354049,46.052647,27.933047,97.052635,372.066953,427.933047
79,-64.736862,11.340238,-22.039509,-75.436133,93.526314,475.436133,324.563867
80,-107.894745,11.317221,-26.973677,-123.551201,89.210526,523.551201,276.448799
81,-80.000000,11.300154,17.434216,-51.265630,92.000000,451.265630,348.734370
82,-113.157883,11.276014,-20.723677,-122.605546,88.684212,522.605546,277.394454
83,-78.421021,11.259284,21.710539,-45.451198,92.157898,445.451198,354.548802
84,-62.105255,11.246035,10.197353,-40.661867,93.789474,440.661867,359.338133
85,-81.578979,11.228631,-12.171078,-82.521426,91.842102,482.521426,317.478574
86,-23.157883,11.223691,36.513186,24.578994,97.684212,375.421006,424.578994
87,-97.368393,11.202919,-46.381569,-132.547043,90.263161,532.547043,267.452957
88,-54.210510,11.191354,26.973677,-16.045479,94.578949,416.045479,383.954521
89,-68.421021,11.176758,-8.881569,-66.125832,93.157898,466.125832,333.874168
90,-79.473648,11.159803,-6.907892,-75.221737,92.052635,475.221737,324.778263
91,-75.263138,11.143747,2.631569,-61.487822,92.473686,461.487822,338.512178
92,-92.105255,11.124098,-10.526323,-91.507480,90.789474,491.507480,308.492520
93,-78.421021,11.107368,8.552647,-58.761006,92.157898,458.761006,341.238994
94,-62.631607,11.094007,9.868383,-41.669217,93.736839,441.669217,358.330783
95,-96.315765,11.073459,-21.052599,-106.294905,90.368423,506.294905,293.705095
96,-98.947372,11.052351,-1.644754,-89.539776,90.105263,489.539776,310.460224
97,-52.631607,11.041123,28.947353,-12.643131,94.736839,412.643131,387.356869
98,-151.578979,11.008786,-61.842108,-200.000000,84.842102,600.000000,200.000000
99,-4.210510,11.007888,92.105293,98.902671,99.578949,301.097329,498.902671
100,-62.631607,10.994526,-36.513186,-88.150266,93.736839,488.150266,311.849734
101,-64.736862,10.980716,-1.315784,-55.071931,93.526314,455.071931,344.928069
102,-36.842117,10.972856,17.434216,-8.435046,96.315788,408.435046,391.564954
103,13.157883,10.975663,31.250000,55.383546,101.315788,344.616454,455.383546
104,25.789490,10.981165,7.894754,44.665409,102.578949,355.334591,444.665409
