time,P,I,D,ds,prox_right,left speed,right speed
1,20530.262756,0.131394,0.006416,200.000000,921.210510,200.000000,600.000000
2,20360.527039,0.261701,-0.000053,200.000000,914.421082,200.000000,600.000000
3,19022.367859,0.383444,-0.000418,200.000000,860.894714,200.000000,600.000000
4,17400.000000,0.494804,-0.000507,200.000000,796.000000,200.000000,600.000000
5,15192.105103,0.592034,-0.000690,200.000000,707.684204,200.000000,600.000000
6,11684.210205,0.666813,-0.001096,200.000000,567.368408,200.000000,600.000000
7,7556.578827,0.715175,-0.001290,200.000000,402.263153,200.000000,600.000000
8,6081.578827,0.754097,-0.000461,200.000000,343.263153,200.000000,600.000000
9,4676.316071,0.784025,-0.000439,200.000000,287.052643,200.000000,600.000000
10,4311.842346,0.811621,-0.000114,200.000000,272.473694,200.000000,600.000000
11,3542.105103,0.834291,-0.000241,200.000000,241.684204,200.000000,600.000000
12,2588.158035,0.850855,-0.000298,200.000000,203.526321,200.000000,600.000000
13,2272.368240,0.865398,-0.000099,200.000000,190.894730,200.000000,600.000000
14,1632.894897,0.875848,-0.000200,200.000000,165.315796,200.000000,600.000000
15,1196.052551,0.883503,-0.000137,200.000000,147.842102,200.000000,600.000000
16,782.894897,0.888514,-0.000129,200.000000,131.315796,200.000000,600.000000
17,372.368431,0.890897,-0.000128,200.000000,114.894737,200.000000,600.000000
18,-65.789413,0.890476,-0.000137,-64.899075,97.368423,464.899075,335.100925
19,-167.105293,0.889406,-0.000032,-166.215919,93.315788,566.215919,233.784081
20,-239.473724,0.887874,-0.000023,-200.000000,90.421051,600.000000,200.000000
21,-402.631569,0.885297,-0.000051,-200.000000,83.894737,600.000000,200.000000
22,-359.210587,0.882998,0.000014,-200.000000,85.631577,600.000000,200.000000
23,-415.789413,0.880337,-0.000018,-200.000000,83.368423,600.000000,200.000000
24,-357.894707,0.878046,0.000018,-200.000000,85.684212,600.000000,200.000000
25,-353.947449,0.875781,0.000001,-200.000000,85.842102,600.000000,200.000000
26,-314.473724,0.873768,0.000012,-200.000000,87.421051,600.000000,200.000000
27,-309.210587,0.871789,0.000002,-200.000000,87.631577,600.000000,200.000000
28,-342.105293,0.869600,-0.000010,-200.000000,86.315788,600.000000,200.000000
29,-296.052551,0.867705,0.000014,-200.000000,88.157898,600.000000,200.000000
30,-417.105293,0.865036,-0.000038,-200.000000,83.315788,600.000000,200.000000
31,-325.000000,0.862956,0.000029,-200.000000,87.000000,600.000000,200.000000
32,-306.579018,0.860994,0.000006,-200.000000,87.736839,600.000000,200.000000
33,-444.736862,0.858147,-0.000043,-200.000000,82.210526,600.000000,200.000000
34,-290.789413,0.856286,0.000048,-200.000000,88.368423,600.000000,200.000000
35,-385.526276,0.853819,-0.000030,-200.000000,84.578949,600.000000,200.000000
36,-260.526276,0.852152,0.000039,-200.000000,89.578949,600.000000,200.000000
37,-310.526276,0.850164,-0.000016,-200.000000,87.578949,600.000000,200.000000
38,-306.579018,0.848202,0.000001,-200.000000,87.736839,600.000000,200.000000
39,-361.842155,0.845886,-0.000017,-200.000000,85.526314,600.000000,200.000000
40,-273.684120,0.844135,0.000028,-200.000000,89.052635,600.000000,200.000000
