time,P,I,D,ds,prox_right,left speed,right speed
1,8224.736938,0.000000,51404.605865,200.000000,922.473694,200.000000,600.000000
2,8138.947144,0.000000,-536.186218,200.000000,913.894714,200.000000,600.000000
3,7587.894897,0.000000,-3444.076538,200.000000,858.789490,200.000000,600.000000
4,6928.421021,0.000000,-4121.711731,200.000000,792.842102,200.000000,600.000000
5,6043.157959,0.000000,-5532.894135,200.000000,704.315796,200.000000,600.000000
6,4629.473877,0.000000,-8835.525513,-200.000000,562.947388,600.000000,200.000000
7,4268.947144,0.000000,-2253.292084,200.000000,526.894714,200.000000,600.000000
8,2937.894592,0.000000,-8319.078445,-200.000000,393.789459,600.000000,200.000000
9,2577.894592,0.000000,-2250.000000,200.000000,357.789459,200.000000,600.000000
10,2682.631531,0.000000,654.605865,200.000000,368.263153,200.000000,600.000000
11,2114.736938,0.000000,-3549.341202,-200.000000,311.473694,600.000000,200.000000
12,1946.842041,0.000000,-1049.343109,200.000000,294.684204,200.000000,600.000000
13,1642.631531,0.000000,-1901.315689,-200.000000,264.263153,600.000000,200.000000
14,1585.789490,0.000000,-355.262756,200.000000,258.578949,200.000000,600.000000
15,1408.947296,0.000000,-1105.263710,200.000000,240.894730,200.000000,600.000000
16,1238.421021,0.000000,-1065.789223,172.631798,223.842102,227.368202,572.631798
17,1052.105255,0.000000,-1164.473534,-112.368278,205.210526,512.368278,287.631722
18,942.105255,0.000000,-687.500000,200.000000,194.210526,200.000000,600.000000
19,751.052704,0.000000,-1194.078445,-200.000000,175.105270,600.000000,200.000000
20,714.736786,0.000000,-226.974487,200.000000,171.473679,200.000000,600.000000
21,614.736786,0.000000,-625.000000,-10.263214,161.473679,410.263214,389.736786
22,567.894745,0.000000,-292.762756,200.000000,156.789474,200.000000,600.000000
23,396.842041,0.000000,-1069.079399,-200.000000,139.684204,600.000000,200.000000
24,388.421021,0.000000,-52.631378,200.000000,138.842102,200.000000,600.000000
25,267.894745,0.000000,-753.289223,-200.000000,126.789474,600.000000,200.000000
26,244.736862,0.000000,-144.736767,100.000095,124.473686,299.999905,500.000095
27,228.947372,0.000000,-98.684311,130.263062,122.894737,269.736938,530.263062
28,161.052628,0.000000,-424.342155,-200.000000,116.105263,600.000000,200.000000
29,153.157883,0.000000,-49.342155,103.815727,115.315788,296.184273,503.815727
30,30.000000,0.000000,-769.736767,-200.000000,103.000000,600.000000,200.000000
