time,P,I,D,ds,left speed,right speed
95,-7348.947372,-0.000000,-36184.191704,-200.000000,600.000000,200.000000
96,-7351.578979,-0.000000,-4111.886024,-200.000000,600.000000,200.000000
97,-7321.052628,-0.000000,47697.424889,200.000000,200.000000,600.000000
98,-7388.421059,-0.000000,-105263.173580,-200.000000,600.000000,200.000000
99,-7300.000000,-0.000000,138157.904148,200.000000,200.000000,600.000000
100,-7335.263138,-0.000000,-55098.652840,-200.000000,600.000000,200.000000
101,-7366.842117,-0.000000,-49342.155457,-200.000000,600.000000,200.000000
102,-7341.052628,-0.000000,40296.077728,200.000000,200.000000,600.000000
103,-7316.315765,-0.000000,38651.347160,200.000000,200.000000,600.000000
104,-7312.105255,-0.000000,6578.922272,-200.000000,600.000000,200.000000
105,-7335.263138,-0.000000,-36184.191704,-200.000000,600.000000,200.000000
106,-7320.000000,-0.000000,23848.652840,200.000000,200.000000,600.000000
107,-7327.894745,-0.000000,-12335.538864,-200.000000,600.000000,200.000000
108,-7334.736862,-0.000000,-10690.808296,-200.000000,600.000000,200.000000
109,-7335.263138,-0.000000,-822.305679,-200.000000,600.000000,200.000000
110,-7338.947372,-0.000000,-5756.616592,-200.000000,600.000000,200.000000
111,-7357.368393,-0.000000,-28782.844543,-200.000000,600.000000,200.000000
112,-7351.578979,-0.000000,9045.958519,200.000000,200.000000,600.000000
113,-7341.052628,-0.000000,16447.424889,200.000000,200.000000,600.000000
114,-7365.263176,-0.000000,-37828.981876,-200.000000,600.000000,200.000000
115,-7285.263138,-0.000000,125000.059605,200.000000,200.000000,600.000000
116,-7375.263176,-0.000000,-140625.059605,-200.000000,600.000000,200.000000
117,-7364.210510,-0.000000,17269.790173,200.000000,200.000000,600.000000
118,-7304.736862,-0.000000,92927.575111,200.000000,200.000000,600.000000
119,-7305.789490,-0.000000,-1644.730568,-200.000000,600.000000,200.000000
120,-7320.526352,-0.000000,-23026.347160,-200.000000,600.000000,200.000000
121,-7313.157883,-0.000000,11513.233185,200.000000,200.000000,600.000000
122,-7327.368393,-0.000000,-22203.922272,-200.000000,600.000000,200.000000
123,-7332.105255,-0.000000,-7401.347160,-200.000000,600.000000,200.000000
124,-7347.894745,-0.000000,-24671.077728,-200.000000,600.000000,200.000000
125,-7328.947372,-0.000000,29605.269432,200.000000,200.000000,600.000000
126,-7316.315765,-0.000000,19736.886024,200.000000,200.000000,600.000000
127,-7371.052628,-0.000000,-85526.347160,-200.000000,600.000000,200.000000
128,-7324.210510,-0.000000,73190.808296,200.000000,200.000000,600.000000
129,-7324.210510,-0.000000,0.000000,-200.000000,600.000000,200.000000
130,-7337.894745,-0.000000,-21381.616592,-200.000000,600.000000,200.000000
131,-7320.526352,-0.000000,27138.113976,200.000000,200.000000,600.000000
132,-7317.894745,-0.000000,4111.886024,-200.000000,600.000000,200.000000
133,-7345.789490,-0.000000,-43585.538864,-200.000000,600.000000,200.000000
134,-7341.052628,-0.000000,7401.347160,60.294533,339.705467,460.294533
135,-7336.315765,-0.000000,7401.347160,65.031395,334.968605,465.031395
136,-7297.894745,-0.000000,60032.844543,200.000000,200.000000,600.000000
137,-7332.631607,-0.000000,-54276.347160,-200.000000,600.000000,200.000000
138,-7297.368393,-0.000000,55098.772049,200.000000,200.000000,600.000000
139,-7365.263176,-0.000000,-106085.598469,-200.000000,600.000000,200.000000
140,-7350.000000,-0.000000,23848.712444,200.000000,200.000000,600.000000
141,-7345.263138,-0.000000,7401.347160,56.084022,343.915978,456.084022
142,-7350.000000,-0.000000,-7401.347160,-200.000000,600.000000,200.000000
143,-7332.105255,-0.000000,27960.538864,200.000000,200.000000,600.000000
144,-7310.000000,-0.000000,34539.461136,200.000000,200.000000,600.000000
145,-7313.157883,-0.000000,-4934.191704,-200.000000,600.000000,200.000000
146,-7367.894745,-0.000000,-85526.347160,-200.000000,600.000000,200.000000
147,-7343.157883,-0.000000,38651.347160,200.000000,200.000000,600.000000
148,-7344.210510,-0.000000,-1644.730568,-200.000000,600.000000,200.000000
149,-7319.473648,-0.000000,38651.347160,200.000000,200.000000,600.000000
150,-7324.210510,-0.000000,-7401.347160,-200.000000,600.000000,200.000000
151,-7338.947372,-0.000000,-23026.347160,-200.000000,600.000000,200.000000
152,-7297.894745,-0.000000,64144.730568,200.000000,200.000000,600.000000
153,-7334.210510,-0.000000,-56743.383408,-200.000000,600.000000,200.000000
154,-7338.421021,-0.000000,-6578.922272,-200.000000,600.000000,200.000000
155,-7339.473648,-0.000000,-1644.730568,-200.000000,600.000000,200.000000
156,-7307.894745,-0.000000,49342.036247,200.000000,200.000000,600.000000
157,-7333.157883,-0.000000,-39473.652840,-200.000000,600.000000,200.000000
158,-7327.894745,-0.000000,8223.652840,200.000000,200.000000,600.000000
159,-7343.684235,-0.000000,-24671.077728,-200.000000,600.000000,200.000000
160,-7291.578979,-0.000000,81414.461136,200.000000,200.000000,600.000000
161,-7361.578941,-0.000000,-109374.940395,-200.000000,600.000000,200.000000
162,-7338.947372,-0.000000,35361.826420,200.000000,200.000000,600.000000
163,-7372.105255,-0.000000,-51809.191704,-200.000000,600.000000,200.000000
164,-7324.210510,-0.000000,74835.538864,200.000000,200.000000,600.000000
165,-7307.894745,-0.000000,25493.383408,200.000000,200.000000,600.000000
166,-7341.578979,-0.000000,-52631.616592,-200.000000,600.000000,200.000000
167,-7338.421021,-0.000000,4934.310913,-200.000000,600.000000,200.000000
168,-7328.421021,-0.000000,15625.000000,200.000000,200.000000,600.000000
169,-7349.473648,-0.000000,-32894.730568,-200.000000,600.000000,200.000000
170,-7333.157883,-0.000000,25493.383408,200.000000,200.000000,600.000000
171,-7346.315765,-0.000000,-20559.191704,-200.000000,600.000000,200.000000
172,-7350.000000,-0.000000,-5756.616592,-200.000000,600.000000,200.000000
173,-7301.578979,-0.000000,75657.844543,200.000000,200.000000,600.000000
174,-7306.315765,-0.000000,-7401.227951,-200.000000,600.000000,200.000000
175,-7351.578979,-0.000000,-70723.772049,-200.000000,600.000000,200.000000
176,-7362.105255,-0.000000,-16447.305679,-200.000000,600.000000,200.000000
177,-7345.263138,-0.000000,26315.808296,200.000000,200.000000,600.000000
178,-7328.947372,-0.000000,25493.383408,200.000000,200.000000,600.000000
179,-7328.947372,-0.000000,0.000000,-200.000000,600.000000,200.000000
180,-7315.789490,-0.000000,20559.191704,200.000000,200.000000,600.000000
181,-7336.315765,-0.000000,-32072.305679,-200.000000,600.000000,200.000000
182,-7331.052628,-0.000000,8223.652840,200.000000,200.000000,600.000000
183,-7303.157883,-0.000000,43585.538864,200.000000,200.000000,600.000000
184,-7338.421021,-0.000000,-55098.652840,-200.000000,600.000000,200.000000
185,-7331.578979,-0.000000,10690.689087,200.000000,200.000000,600.000000
186,-7325.263138,-0.000000,9868.502617,200.000000,200.000000,600.000000
187,-7357.894745,-0.000000,-50986.886024,-200.000000,600.000000,200.000000
188,-7330.000000,-0.000000,43585.538864,200.000000,200.000000,600.000000
189,-7342.631607,-0.000000,-19736.886024,-200.000000,600.000000,200.000000
190,-7351.578979,-0.000000,-13980.269432,-200.000000,600.000000,200.000000
191,-7343.157883,-0.000000,13157.963753,200.000000,200.000000,600.000000
192,-7316.842117,-0.000000,41118.383408,200.000000,200.000000,600.000000
193,-7307.368393,-0.000000,14802.694321,200.000000,200.000000,600.000000
194,-7330.000000,-0.000000,-35361.886024,-200.000000,600.000000,200.000000
195,-7351.578979,-0.000000,-33717.155457,-200.000000,600.000000,200.000000
196,-7315.263138,-0.000000,56743.502617,200.000000,200.000000,600.000000
197,-7340.000000,-0.000000,-38651.347160,-200.000000,600.000000,200.000000
198,-7305.263138,-0.000000,54276.347160,200.000000,200.000000,600.000000
199,-7335.263138,-0.000000,-46875.000000,-200.000000,600.000000,200.000000
200,-7332.105255,-0.000000,4934.191704,-200.000000,600.000000,200.000000
201,-7331.052628,-0.000000,1644.730568,-200.000000,600.000000,200.000000
202,-7293.684235,-0.000000,58388.113976,200.000000,200.000000,600.000000
203,-7301.052628,-0.000000,-11513.113976,-200.000000,600.000000,200.000000
204,-7258.421021,-0.000000,66611.886024,200.000000,200.000000,600.000000
205,-7192.631607,-0.000000,102795.958519,200.000000,200.000000,600.000000
206,-7211.578979,-0.000000,-29605.269432,-200.000000,600.000000,200.000000
207,-7205.789490,-0.000000,9046.077728,200.000000,200.000000,600.000000
208,-7195.789490,-0.000000,15625.000000,200.000000,200.000000,600.000000
209,-7193.157883,-0.000000,4111.886024,-200.000000,600.000000,200.000000
210,-7143.684235,-0.000000,77302.575111,200.000000,200.000000,600.000000
211,-7124.210510,-0.000000,30427.694321,200.000000,200.000000,600.000000
212,-7102.105255,-0.000000,34539.461136,200.000000,200.000000,600.000000
213,-7013.684235,-0.000000,138157.844543,200.000000,200.000000,600.000000
214,-6798.947372,-0.000000,335526.347160,200.000000,200.000000,600.000000
215,-6756.315765,-0.000000,66611.886024,200.000000,200.000000,600.000000
216,-6633.157959,-0.000000,192434.072495,200.000000,200.000000,600.000000
217,-6571.578979,-0.000000,96217.155457,200.000000,200.000000,600.000000
218,-6403.157959,-0.000000,263157.844543,200.000000,200.000000,600.000000
219,-6247.894745,-0.000000,242598.772049,200.000000,200.000000,600.000000
220,-6094.736786,-0.000000,239309.310913,200.000000,200.000000,600.000000
221,-5951.052704,-0.000000,224506.378174,200.000000,200.000000,600.000000
222,-5906.842041,-0.000000,69079.160690,200.000000,200.000000,600.000000
223,-5760.526276,-0.000000,228618.383408,200.000000,200.000000,600.000000
224,-5698.947296,-0.000000,96217.155457,200.000000,200.000000,600.000000
225,-5663.684235,-0.000000,55098.533630,200.000000,200.000000,600.000000
226,-5694.210510,-0.000000,-47697.305679,-200.000000,600.000000,200.000000
227,-5654.210510,-0.000000,62500.000000,200.000000,200.000000,600.000000
228,-5689.473724,-0.000000,-55098.772049,-200.000000,600.000000,200.000000
229,-5590.526276,-0.000000,154605.388641,200.000000,200.000000,600.000000
230,-5600.526276,-0.000000,-15625.000000,-200.000000,600.000000,200.000000
231,-5541.052704,-0.000000,92927.455902,200.000000,200.000000,600.000000
232,-5565.789490,-0.000000,-38651.227951,-200.000000,600.000000,200.000000
233,-5510.526276,-0.000000,86348.772049,200.000000,200.000000,600.000000
234,-5483.684235,-0.000000,41940.689087,200.000000,200.000000,600.000000
235,-5544.736786,-0.000000,-95394.611359,-200.000000,600.000000,200.000000
236,-5490.000000,-0.000000,85526.227951,200.000000,200.000000,600.000000
237,-5530.526276,-0.000000,-63322.305679,-200.000000,600.000000,200.000000
238,-5528.947296,-0.000000,2467.155457,-200.000000,600.000000,200.000000
239,-5392.105408,-0.000000,213815.450668,200.000000,200.000000,600.000000
240,-5469.473724,-0.000000,-120887.994766,-200.000000,600.000000,200.000000
241,-5372.105408,-0.000000,152137.994766,200.000000,200.000000,600.000000
242,-5390.000000,-0.000000,-27960.300446,-200.000000,600.000000,200.000000
243,-5352.105408,-0.000000,59210.300446,200.000000,200.000000,600.000000
244,-5276.315918,-0.000000,118421.077728,200.000000,200.000000,600.000000
245,-5309.473572,-0.000000,-51808.834076,-200.000000,600.000000,200.000000
246,-5205.263062,-0.000000,162828.922272,200.000000,200.000000,600.000000
247,-5234.736938,-0.000000,-46052.932739,-200.000000,600.000000,200.000000
248,-5227.894592,-0.000000,10691.165924,200.000000,200.000000,600.000000
249,-5184.736938,-0.000000,67433.834076,200.000000,200.000000,600.000000
250,-5167.368469,-0.000000,27138.233185,200.000000,200.000000,600.000000
251,-5361.052551,-0.000000,-302631.378174,-200.000000,600.000000,200.000000
252,-5405.263062,-0.000000,-69078.922272,-200.000000,600.000000,200.000000
253,-5392.631531,-0.000000,19736.766815,200.000000,200.000000,600.000000
254,-5443.157959,-0.000000,-78947.544098,-200.000000,600.000000,200.000000
255,-5381.052551,-0.000000,97039.699554,200.000000,200.000000,600.000000
256,-5454.210510,-0.000000,-114309.310913,-200.000000,600.000000,200.000000
257,-5445.789490,-0.000000,13157.844543,200.000000,200.000000,600.000000
258,-5420.526428,-0.000000,39473.533630,200.000000,200.000000,600.000000
259,-5533.684235,-0.000000,-176809.072495,-200.000000,600.000000,200.000000
260,-5543.157959,-0.000000,-14802.694321,-200.000000,600.000000,200.000000
261,-5536.315765,-0.000000,10690.927505,200.000000,200.000000,600.000000
262,-5544.736786,-0.000000,-13157.844543,-200.000000,600.000000,200.000000
263,-5528.421021,-0.000000,25493.383408,200.000000,200.000000,600.000000
264,-5504.736786,-0.000000,37006.616592,200.000000,200.000000,600.000000
265,-5597.368469,-0.000000,-144737.005234,-200.000000,600.000000,200.000000
266,-5605.263214,-0.000000,-12335.538864,-200.000000,600.000000,200.000000
267,-5632.105255,-0.000000,-41940.689087,-200.000000,600.000000,200.000000
268,-5568.421021,-0.000000,99506.616592,200.000000,200.000000,600.000000
269,-5594.210510,-0.000000,-40296.077728,-200.000000,600.000000,200.000000
270,-5568.421021,-0.000000,40296.077728,200.000000,200.000000,600.000000
271,-5528.947296,-0.000000,61677.694321,200.000000,200.000000,600.000000
272,-5616.315765,-0.000000,-136513.233185,-200.000000,600.000000,200.000000
273,-5534.736786,-0.000000,127467.155457,200.000000,200.000000,600.000000
274,-5657.368469,-0.000000,-191612.005234,-200.000000,600.000000,200.000000
275,-5546.315765,-0.000000,173519.849777,200.000000,200.000000,600.000000
276,-5602.631531,-0.000000,-87993.383408,-200.000000,600.000000,200.000000
277,-5618.947296,-0.000000,-25493.383408,-200.000000,600.000000,200.000000
278,-5573.157959,-0.000000,71545.839310,200.000000,200.000000,600.000000
279,-5498.947296,-0.000000,115954.160690,200.000000,200.000000,600.000000
280,-5612.105255,-0.000000,-176809.310913,-200.000000,600.000000,200.000000
281,-5681.052704,-0.000000,-107730.388641,-200.000000,600.000000,200.000000
282,-5475.789490,-0.000000,320723.772049,200.000000,200.000000,600.000000
283,-5548.421021,-0.000000,-113486.766815,-200.000000,600.000000,200.000000
284,-5413.684082,-0.000000,210526.466370,200.000000,200.000000,600.000000
285,-5409.473572,-0.000000,6578.922272,200.000000,200.000000,600.000000
286,-5413.684082,-0.000000,-6578.922272,-200.000000,600.000000,200.000000
287,-5380.000000,-0.000000,52631.378174,200.000000,200.000000,600.000000
288,-5049.473572,-0.000000,516447.544098,200.000000,200.000000,600.000000
289,-4557.368469,-0.000000,768914.222717,200.000000,200.000000,600.000000
290,-3887.368469,-0.000000,1046875.000000,200.000000,200.000000,600.000000
291,-3294.210510,-0.000000,926809.310913,200.000000,200.000000,600.000000
