time,P,I,D,ds,prox_right,left speed,right speed
1,4106.052551,0.328484,10265.131378,200.000000,921.210510,200.000000,600.000000
2,4072.105408,0.654253,-84.867859,200.000000,914.421082,200.000000,600.000000
3,3804.473572,0.958611,-669.079590,200.000000,860.894714,200.000000,600.000000
4,3482.631531,1.237221,-804.605103,200.000000,796.526306,200.000000,600.000000
5,3041.052551,1.480505,-1103.947449,200.000000,708.210510,200.000000,600.000000
6,2339.473572,1.667663,-1753.947449,200.000000,567.894714,200.000000,600.000000
7,1511.315765,1.788568,-2070.394516,-200.000000,402.263153,600.000000,200.000000
8,1375.263214,1.898589,-340.131378,200.000000,375.052643,200.000000,600.000000
9,1137.368469,1.989579,-594.736862,200.000000,327.473694,200.000000,600.000000
10,1016.578979,2.070905,-301.973724,200.000000,303.315796,200.000000,600.000000
11,833.684235,2.137600,-457.236862,200.000000,266.736847,200.000000,600.000000
12,695.000000,2.193200,-346.710587,200.000000,239.000000,200.000000,600.000000
13,601.315765,2.241305,-234.210587,200.000000,220.263153,200.000000,600.000000
14,473.421021,2.279179,-319.736862,155.963337,194.684204,244.036663,555.963337
15,366.578979,2.308505,-267.105103,101.782382,173.315796,298.217618,501.782382
16,260.263138,2.329326,-265.789604,-3.197140,152.052628,403.197140,396.802860
17,202.368393,2.345516,-144.736862,59.977047,140.473679,340.022953,459.977047
18,146.842117,2.357263,-138.815689,10.383691,129.368423,389.616309,410.383691
19,100.263176,2.365284,-116.447353,-13.818893,120.052635,413.818893,386.181107
20,85.263176,2.372105,-37.500000,50.135281,117.052635,349.864719,450.135281
21,53.684196,2.376400,-78.947449,-22.886852,110.736839,422.886852,377.113148
22,45.526314,2.380042,-20.394707,27.511649,109.105263,372.488351,427.511649
23,4.736824,2.380421,-101.973724,-94.856479,100.947365,494.856479,305.143521
24,-10.000000,2.379621,-36.842060,-44.462439,98.000000,444.462439,355.537561
25,-41.315804,2.376316,-78.289509,-117.228997,91.736839,517.228997,282.771003
26,-43.421059,2.372842,-5.263138,-46.311354,91.315788,446.311354,353.688646
27,-51.315804,2.368737,-19.736862,-68.683929,89.736839,468.683929,331.316071
28,-67.894745,2.363305,-41.447353,-106.978793,86.421051,506.978793,293.021207
